date,count
2/1/18,52
7/6/16,116
3/27/17,172
7/28/17,171
7/28/16,148
7/28/15,17
4/19/16,1
10/1/17,437
7/6/15,15
4/5/16,256
4/5/17,217
7/2/15,9
11/21/17,110
2/5/17,70
11/3/17,314
11/3/16,115
11/3/15,19
11/3/14,18
12/25/14,6
6/2/17,142
3/10/16,70
3/10/17,9
3/10/18,155
2/12/18,107
10/4/15,38
10/4/17,146
10/4/16,91
2/4/17,95
2/13/18,68
2/4/15,2
2/4/18,170
3/9/18,193
2/9/18,148
8/4/17,370
10/6/17,158
10/6/16,48
8/4/16,76
2/9/16,55
2/9/17,198
2/14/17,41
3/18/17,6
2/19/16,7
1/15/16,22
2/7/16,19
2/7/17,65
2/5/18,154
2/14/18,68
2/5/16,13
2/19/15,1
2/7/18,177
3/29/17,117
8/20/15,121
8/20/17,459
5/19/15,29
5/19/17,209
5/19/16,17
11/9/15,1
11/9/17,199
11/9/16,78
6/25/15,5
6/25/17,308
6/25/16,18
7/29/15,10
7/29/16,72
7/29/17,313
8/23/15,198
10/7/16,13
8/23/16,75
9/21/17,354
11/5/15,3
2/8/16,24
11/5/17,45
11/20/15,80
4/13/16,5
11/20/17,100
11/20/16,2
2/2/18,140
2/3/18,192
11/2/17,238
10/12/17,131
8/21/17,393
8/21/16,5
8/21/15,128
2/3/16,13
2/3/17,39
4/17/16,6
2/3/15,6
1/24/15,20
4/2/16,23
4/2/15,1
6/21/16,54
7/31/17,194
10/5/16,201
6/27/16,155
6/27/15,12
1/13/17,15
2/12/16,17
2/12/15,1
1/26/18,68
10/1/16,88
1/26/16,5
1/26/15,2
10/1/15,38
5/11/15,12
5/11/17,198
5/11/16,22
8/19/17,263
1/15/17,5
2/14/16,2
1/15/18,15
8/27/15,143
7/11/15,43
8/27/17,2
8/27/16,2
7/22/15,103
10/10/17,223
7/22/17,48
7/22/16,2
11/4/16,6
11/4/17,80
11/4/15,13
2/6/17,36
8/8/17,213
