date,count
2/14/17,31
2/14/16,2
1/15/18,27
8/27/17,1
8/27/16,3
10/10/17,182
7/22/17,59
7/22/16,1
11/4/16,9
11/4/17,42
2/6/17,28
2/6/16,6
2/11/18,52
